ds,y
6/1/2003,74.59
6/2/2003,74.59
6/3/2003,74.59
6/4/2003,74.59
6/5/2003,74.59
6/6/2003,74.59
6/7/2003,74.59
6/8/2003,74.59
6/9/2003,74.47
6/10/2003,74.47
6/11/2003,74.47
6/12/2003,74.47
6/13/2003,74.47
6/14/2003,74.47
6/15/2003,74.47
6/16/2003,74.42
6/17/2003,74.42
6/18/2003,74.42
6/19/2003,74.42
6/20/2003,74.42
6/21/2003,74.42
6/22/2003,74.42
6/23/2003,74.35
6/24/2003,74.35
6/25/2003,74.35
6/26/2003,74.35
6/27/2003,74.35
6/28/2003,74.35
6/29/2003,74.35
6/30/2003,74.28
7/1/2003,74.28
7/2/2003,74.28
7/3/2003,74.28
7/4/2003,74.28
7/5/2003,74.28
7/6/2003,74.28
7/7/2003,74.21
7/8/2003,74.21
7/9/2003,74.21
7/10/2003,74.21
7/11/2003,74.21
7/12/2003,74.21
7/13/2003,74.21
7/14/2003,75.07
7/15/2003,75.07
7/16/2003,75.07
7/17/2003,75.07
7/18/2003,75.07
7/19/2003,75.07
7/20/2003,75.07
7/21/2003,75.1
7/22/2003,75.1
7/23/2003,75.1
7/24/2003,75.1
7/25/2003,75.1
7/26/2003,75.1
7/27/2003,75.1
7/28/2003,75.12
7/29/2003,75.12
7/30/2003,75.12
7/31/2003,75.12
8/1/2003,75.12
8/2/2003,75.12
8/3/2003,75.12
8/4/2003,75.44
8/5/2003,75.44
8/6/2003,75.44
8/7/2003,75.44
8/8/2003,75.44
8/9/2003,75.44
8/10/2003,75.44
8/11/2003,75.81
8/12/2003,75.81
8/13/2003,75.81
8/14/2003,75.81
8/15/2003,75.81
8/16/2003,75.81
8/17/2003,75.81
8/18/2003,76.05
8/19/2003,76.05
8/20/2003,76.05
8/21/2003,76.05
8/22/2003,76.05
8/23/2003,76.05
8/24/2003,76.05
8/25/2003,76.05
8/26/2003,76.13
8/27/2003,76.13
8/28/2003,76.13
8/29/2003,76.13
8/30/2003,76.13
8/31/2003,76.13
9/1/2003,76.23
9/2/2003,76.23
9/3/2003,76.23
9/4/2003,76.23
9/5/2003,76.23
9/6/2003,76.23
9/7/2003,76.23
9/8/2003,76.2
9/9/2003,76.2
9/10/2003,76.2
9/11/2003,76.2
9/12/2003,76.2
9/13/2003,76.2
9/14/2003,76.2
9/15/2003,76.15
9/16/2003,76.15
9/17/2003,76.15
9/18/2003,76.15
9/19/2003,76.15
9/20/2003,76.15
9/21/2003,76.15
9/22/2003,76.08
9/23/2003,76.08
9/24/2003,76.08
9/25/2003,76.08
9/26/2003,76.08
9/27/2003,76.08
9/28/2003,76.08
9/29/2003,76.43
9/30/2003,76.43
